Código;Nome do cargo na Pesquisa;Região;Segmento;Data;;;;;;;;;;;;;;;;
1061;Líder de Qualidade e Processos;Nacional;TI;2025;;;;;;;;;;;;;;;;
1016;Líder Técnico;Nacional;TI;2025;;;;;;;;;;;;;;;;
824;Operador de telemarketing;Nacional;TI;2025;;;;;;;;;;;;;;;;
410;Pesquisador;Nacional;TI;2025;;;;;;;;;;;;;;;;
1080;Product Designer;Nacional;TI;2025;;;;;;;;;;;;;;;;
892;Product Owner;Nacional;TI;2025;;;;;;;;;;;;;;;;
833;Produtor Audiovisual;Nacional;TI;2025;;;;;;;;;;;;;;;;
360;Projetista;Nacional;TI;2025;;;;;;;;;;;;;;;;
84;Redator Técnico;Nacional;TI;2025;;;;;;;;;;;;;;;;
893;Scrum Master;Nacional;TI;2025;;;;;;;;;;;;;;;;
3;Secretária Executiva;Nacional;TI;2025;;;;;;;;;;;;;;;;
1062;Team Lead;Nacional;TI;2025;;;;;;;;;;;;;;;;
1063;Tech Recruiter;Nacional;TI;2025;;;;;;;;;;;;;;;;
1057;Técnico de Atendimento e Suporte;Nacional;TI;2025;;;;;;;;;;;;;;;;
453;Técnico de Instalação (Hardware);Nacional;TI;2025;;;;;;;;;;;;;;;;
143;Técnico em Eletrônica;Nacional;TI;2025;;;;;;;;;;;;;;;;
417;Técnico em Eletrotécnica;Nacional;TI;2025;;;;;;;;;;;;;;;;
418;Técnico em Mecânica Industrial;Nacional;TI;2025;;;;;;;;;;;;;;;;
124;Técnico em Segurança do Trabalho;Nacional;TI;2025;;;;;;;;;;;;;;;;
419;Tradutor;Nacional;TI;2025;;;;;;;;;;;;;;;;
1074;UI Designer;Nacional;TI;2025;;;;;;;;;;;;;;;;
1075;UX Designer;Nacional;TI;2025;;;;;;;;;;;;;;;;
454;Vendedor Externo;Nacional;TI;2025;;;;;;;;;;;;;;;;
457;Vice-Presidente;Nacional;TI;2025;;;;;;;;;;;;;;;;
9;Advogado;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
203;Almoxarife;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
13;Analista Administrativo;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
19;Analista Comercial;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
21;Analista Contábil / Fiscal;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
25;Analista de Atendimento e Suporte;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
903;Analista de Cadastro e Regulamentação;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
367;Analista de Comércio Exterior;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
136;Analista de Compras;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
876;Analista de Custos;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
1194;Analista de Custos de Importação/Exportação;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
28;Analista de Departamento Pessoal;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
829;Analista de E-commerce;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
1084;Analista de Encaixe;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
375;Analista de Engenharia de Produto;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
368;Analista de Faturamento;Nacional;Têxtil, Confecção, Metalúrgica e Logística;2025;;;;;;;;;;;;;;;;
