Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários;Menor Salário;1o Quartil;Média;Mediana;3o Quartil;Maior Salário
1076;Analista de Integrações;Pleno;Nacional;TI - Software;2025;200;5;7;4715,14;4920,90;5408,78;5085,51;5577,08;7064,82
1076;Analista de Integrações;Sênior;Nacional;TI - Software;2025;200;4;4;6855,48;6902,56;7319,55;7088,82;7505,81;8245,08
1007;Analista de Inteligência Artificial;Indiferente;Nacional;TI - Software;2025;200;4;5;2747,75;5495,50;7967,16;6411,41;10068,54;15112,61
371;Analista de Inteligência de Mercado;Indiferente;Nacional;TI - Software;2025;200;7;9;4613,36;4667,78;5796,97;5365,99;5989,98;9159,16
371;Analista de Inteligência de Mercado;Sênior;Nacional;TI - Software;2025;200;4;8;5600,37;8366,86;9329,74;10777,68;10777,68;10777,68
37;Analista de Logística;Indiferente;Nacional;TI - Software;2025;200;4;5;3002,27;3459,76;3664,69;3507,96;4115,87;4237,58
42;Analista de Marketing;Indiferente;Nacional;TI - Software;2025;200;40;151;3496,76;3941,85;4987,33;5440,54;5845,05;6246,55
42;Analista de Marketing;Júnior;Nacional;TI - Software;2025;200;20;30;2509,16;3316,49;3525,71;3524,44;3643,51;4667,31
42;Analista de Marketing;Pleno;Nacional;TI - Software;2025;200;28;104;3454,31;4796,68;5317,58;5845,05;5845,05;7123,63
42;Analista de Marketing;Sênior;Nacional;TI - Software;2025;200;8;13;5129,13;5892,39;6200,47;6045,05;6656,60;7556,31
370;Analista de Marketing Digital;Indiferente;Nacional;TI - Software;2025;200;15;20;3526,28;4030,03;4788,94;4790,13;5484,51;6249,40
370;Analista de Marketing Digital;Júnior;Nacional;TI - Software;2025;200;5;6;2770,65;2900,52;3405,88;3408,22;3904,09;4047,49
370;Analista de Marketing Digital;Pleno;Nacional;TI - Software;2025;200;7;8;3846,85;4030,03;4513,04;4701,53;4861,70;5037,54
370;Analista de Marketing Digital;Sênior;Nacional;TI - Software;2025;200;7;8;5480,85;5495,50;6179,72;6122,44;6739,07;7077,91
45;Analista de Mídias Sociais;Indiferente;Nacional;TI - Software;2025;200;14;21;2273,37;3099,46;3971,10;3778,15;4762,76;6479,77
45;Analista de Mídias Sociais;Júnior;Nacional;TI - Software;2025;200;4;5;2518,77;2518,77;2832,84;2770,65;3150,32;3205,71
45;Analista de Mídias Sociais;Pleno;Nacional;TI - Software;2025;200;4;4;3099,46;3453,92;3705,57;3675,11;3926,76;4372,58
45;Analista de Mídias Sociais;Sênior;Nacional;TI - Software;2025;200;4;4;3780,90;5195,65;5403,25;5750,35;5957,95;6331,39
