Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários
1;Desenvolvedor;Especialista;Nacional;TI - Software;2025;200;5;18
842;Desenvolvedor Back-end;Indiferente;Nacional;TI - Software;2025;200;13;108
842;Desenvolvedor Back-end;Júnior;Nacional;TI - Software;2025;200;12;19
842;Desenvolvedor Back-end;Pleno;Nacional;TI - Software;2025;200;9;35
842;Desenvolvedor Back-end;Sênior;Nacional;TI - Software;2025;200;10;57
10;Desenvolvedor Front-end;Indiferente;Nacional;TI - Software;2025;200;16;57
10;Desenvolvedor Front-end;Júnior;Nacional;TI - Software;2025;200;6;10
10;Desenvolvedor Front-end;Pleno;Nacional;TI - Software;2025;200;14;49
10;Desenvolvedor Front-end;Sênior;Nacional;TI - Software;2025;200;5;12
843;Desenvolvedor Mobile;Indiferente;Nacional;TI - Software;2025;200;4;74
843;Desenvolvedor Mobile;Júnior;Nacional;TI - Software;2025;200;5;5
843;Desenvolvedor Mobile;Pleno;Nacional;TI - Software;2025;200;7;31
843;Desenvolvedor Mobile;Sênior;Nacional;TI - Software;2025;200;5;51
399;Designer;Indiferente;Nacional;TI - Software;2025;200;27;86
399;Designer;Júnior;Nacional;TI - Software;2025;200;17;26
399;Designer;Pleno;Nacional;TI - Software;2025;200;20;61
399;Designer;Sênior;Nacional;TI - Software;2025;200;6;14
146;Designer Instrucional;Indiferente;Nacional;TI - Software;2025;200;4;34
146;Designer Instrucional;Pleno;Nacional;TI - Software;2025;200;4;28
449;DevOps;Indiferente;Nacional;TI - Software;2025;200;20;37
449;DevOps;Júnior;Nacional;TI - Software;2025;200;6;9
449;DevOps;Pleno;Nacional;TI - Software;2025;200;6;12
449;DevOps;Sênior;Nacional;TI - Software;2025;200;7;10
100;Diretor Comercial;Indiferente;Nacional;TI - Software;2025;200;4;4
620;Diretor de Produto;Indiferente;Nacional;TI - Software;2025;200;4;5
400;Diretor de Tecnologia;Indiferente;Nacional;TI - Software;2025;200;6;6
1005;Engenheiro de Dados;Indiferente;Nacional;TI - Software;2025;200;13;20
1005;Engenheiro de Dados;Júnior;Nacional;TI - Software;2025;200;5;6
1005;Engenheiro de Dados;Pleno;Nacional;TI - Software;2025;200;6;7
1005;Engenheiro de Dados;Sênior;Nacional;TI - Software;2025;200;5;7
145;Engenheiro de Software;Indiferente;Nacional;TI - Software;2025;200;9;42
145;Engenheiro de Software;Pleno;Nacional;TI - Software;2025;200;4;21
145;Engenheiro de Software;Sênior;Nacional;TI - Software;2025;200;7;16
338;Estagiário Administrativo;Indiferente;Nacional;TI - Software;2025;200;23;70
425;Estagiário em TI;Indiferente;Nacional;TI - Software;2025;200;32;90
105;Executivo de Contas;Indiferente;Nacional;TI - Software;2025;200;25;160
105;Executivo de Contas;Júnior;Nacional;TI - Software;2025;200;14;45
105;Executivo de Contas;Pleno;Nacional;TI - Software;2025;200;13;46
105;Executivo de Contas;Sênior;Nacional;TI - Software;2025;200;16;59
106;Gerente Administrativo;Indiferente;Nacional;TI - Software;2025;200;15;52
107;Gerente Comercial;Indiferente;Nacional;TI - Software;2025;200;20;36
107;Gerente Comercial;Júnior;Nacional;TI - Software;2025;200;4;12
107;Gerente Comercial;Pleno;Nacional;TI - Software;2025;200;4;10
49;Gerente de Atendimento e Suporte;Indiferente;Nacional;TI - Software;2025;200;15;15
49;Gerente de Atendimento e Suporte;Sênior;Nacional;TI - Software;2025;200;4;5
61;Gerente de Desenvolvimento de TI;Indiferente;Nacional;TI - Software;2025;200;10;11
